Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>"
4417401546,"Dec 1, 2020, 6:37:39 PM",Evening Run,Run,,2922,9.12,,false,,activities/4417401546.gpx,,,2922.0,2922.0,9128.7001953125,5.699999809265137,3.1241273880004883,51.3292350769043,49.8292350769043,10.100000381469727,24.100000381469727,12.199999809265137,0.016431692987680435,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9245.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,
4482617101,"Dec 17, 2020, 10:49:10 AM",Lunch Run,Run,,1976,6.53,,false,,activities/4482617101.gpx,,,1976.0,1966.0,6530.5,13.5,3.321719169616699,25.15851402282715,25.15851402282715,3.0999999046325684,12.600000381469727,13.699999809265137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6568.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
4501355852,"Dec 21, 2020, 7:06:31 PM",Evening Run,Run,,3524,10.00,,false,,activities/4501355852.gpx,,,3524.0,3506.0,10007.599609375,4.699999809265137,2.8544209003448486,50.217193603515625,51.01719284057617,10.600000381469727,24.100000381469727,14.199999809265137,-0.007993924431502819,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10120.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4520342899,"Dec 26, 2020, 2:33:52 PM",Afternoon Run,Run,,3353,9.95,,false,,activities/4520342899.gpx,,,3353.0,3349.0,9957.099609375,5.0,2.973156213760376,51.54032897949219,50.64033126831055,10.100000381469727,24.100000381469727,15.300000190734863,0.009038776159286499,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10069.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,
4539399213,"Dec 30, 2020, 11:29:43 AM",Lunch Hike,Hike,"",8456,7.57,,false,,activities/4539399213.gpx,,,8456.0,7330.0,7578.2998046875,3.0,1.03387451171875,341.0941162109375,338.593994140625,223.3000030517578,497.8999938964844,47.70000076293945,0.03298892825841904,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,61.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570645810,"Jan 5, 2021, 12:02:43 PM",Afternoon Run,Run,,3157,9.18,,false,,activities/4570645810.gpx,,,3157.0,2955.0,9186.599609375,5.5,3.108832597732544,51.24173355102539,49.74173355102539,10.100000381469727,24.100000381469727,14.899999618530273,0.016328129917383194,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9302.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,
4779997780,"Feb 13, 2021, 12:14:18 PM",Afternoon Activity,Backcountry Ski,,2859,5.63,,false,,activities/4779997780.gpx,,,2859.0,2749.0,5637.2001953125,3.700000047683716,2.0506365299224854,4.768421173095703,8.868420600891113,10.399999618530273,18.0,11.100000381469727,-0.0727311447262764,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4831391111,"Feb 22, 2021, 6:08:35 PM",Evening Run,Run,,924,3.11,,false,,activities/4831391111.gpx,,,924.0,924.0,3112.39990234375,5.300000190734863,3.3683981895446777,5.7923808097839355,5.7923808097839355,36.400001525878906,43.70000076293945,4.800000190734863,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3123.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,
4842808088,"Feb 24, 2021, 4:48:40 PM",Afternoon Run,Run,,863,3.08,,false,,activities/4842808088.gpx,,,863.0,863.0,3082.300048828125,5.400000095367432,3.571610689163208,5.7373948097229,5.937395095825195,36.400001525878906,43.70000076293945,8.300000190734863,-0.006488661281764507,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3094.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,
4854094822,"Feb 26, 2021, 4:55:07 PM",Afternoon Run,Run,,822,3.03,,false,,activities/4854094822.gpx,,,822.0,818.0,3037.800048828125,5.5,3.7136919498443604,5.679166793823242,5.679166793823242,36.400001525878906,43.70000076293945,4.900000095367432,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3049.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,
4865667888,"Feb 28, 2021, 1:19:55 PM",Afternoon Run,Run,,3001,9.08,,false,,activities/4865667888.gpx,,,3001.0,2989.0,9082.0,5.199999809265137,3.0384743213653564,51.400577545166016,49.900577545166016,10.100000381469727,24.100000381469727,14.600000381469727,0.01651618629693985,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9198.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,
4878838247,"Mar 2, 2021, 5:06:22 PM",Evening Run,Run,,2639,8.52,,false,,activities/4878838247.gpx,,,2639.0,2639.0,8522.599609375,10.399999618530273,3.2294809818267822,49.95267105102539,51.152671813964844,11.5,24.100000381469727,14.199999809265137,-0.014080210588872433,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8630.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
4889876924,"Mar 4, 2021, 4:58:56 PM",Afternoon Run,Run,,831,3.09,,false,,activities/4889876924.gpx,,,831.0,828.0,3090.10009765625,6.199999809265137,3.7320048809051514,5.747619152069092,5.747619152069092,36.400001525878906,43.70000076293945,4.300000190734863,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3101.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,
4913657921,"Mar 8, 2021, 5:33:18 PM",Evening Run,Run,,2600,8.40,,false,,activities/4913657921.gpx,,,2600.0,2591.0,8407.5,5.5,3.2448861598968506,50.01454544067383,50.11454391479492,11.5,24.100000381469727,14.300000190734863,-0.0011894141789525747,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8516.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,
4951568874,"Mar 15, 2021, 4:03:57 PM",Endelig under 5min/km 🥳🏃‍♂️,Run,,2440,8.28,,false,,activities/4951568874.gpx,,,2440.0,2440.0,8284.7998046875,4.699999809265137,3.3954098224639893,50.0733642578125,50.173362731933594,11.5,24.100000381469727,13.300000190734863,-0.001207029796205461,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8395.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4977986678,"Mar 20, 2021, 12:19:00 PM",Afternoon Run,Run,,3367,8.97,,false,,activities/4977986678.gpx,,,3367.0,3333.0,8969.400390625,5.099999904632568,2.691089153289795,51.246002197265625,50.645999908447266,10.600000381469727,24.100000381469727,14.5,0.0066894106566905975,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9085.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4992238502,"Mar 22, 2021, 6:29:44 PM",Evening Ride,Ride,,3421,22.34,,false,,activities/4992238502.gpx,,,3421.0,3421.0,22344.099609375,12.300000190734863,6.531452655792236,144.31277465820312,144.0127716064453,1.7000000476837158,48.900001525878906,10.600000381469727,0.0013426363002508879,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5019699460,"Mar 27, 2021, 2:20:14 PM",Rolig luftings,Run,,2626,6.41,,false,,activities/5019699460.gpx,,,2626.0,2512.0,6415.5,5.800000190734863,2.553941011428833,76.77706146240234,76.57706451416016,87.4000015258789,134.10000610351562,30.700000762939453,0.003117449814453721,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6595.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
5024510613,"Mar 28, 2021, 10:27:02 AM",Høydemeter,Run,,1705,3.50,,false,,activities/5024510613.gpx,,,1705.0,1682.0,3507.89990234375,5.300000190734863,2.085552930831909,209.21005249023438,134.5100555419922,91.69999694824219,177.8000030517578,47.79999923706055,2.129479169845581,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4825.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,
5037350455,"Mar 29, 2021, 3:44:48 PM",Afternoon Hike,Hike,,2159,1.94,,false,,activities/5037350455.gpx,,,2159.0,2159.0,1948.199951171875,2.0999999046325684,0.9023622274398804,104.94412231445312,11.644125938415527,142.10000610351562,237.10000610351562,31.799999237060547,4.789035797119141,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5044115927,"Mar 31, 2021, 2:39:20 PM",Afternoon Run,Run,,1933,6.62,,false,,activities/5044115927.gpx,,,1933.0,1927.0,6619.60009765625,9.100000381469727,3.4351842403411865,76.52430725097656,81.62431335449219,87.5,133.8000030517578,20.700000762939453,-0.07704392820596695,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6794.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
5055594361,"Apr 2, 2021, 11:08:31 AM",Påske på fjellet ,Backcountry Ski,🐣🐣,10814,14.91,,false,,activities/5055594361.gpx,,,10814.0,7620.0,14916.2998046875,9.5,1.9575196504592896,332.6712951660156,332.77130126953125,771.0,949.9000244140625,28.899999618530273,-0.0006704075494781137,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060430810,"Apr 3, 2021, 9:22:42 AM",🐣,Backcountry Ski,🐣🐣,6581,8.47,,false,,activities/5060430810.gpx,,,6581.0,4445.0,8471.400390625,8.199999809265137,1.9058268070220947,162.90509033203125,163.205078125,759.7000122070312,818.0,38.0,-0.003541327314451337,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5068902897,"Apr 4, 2021, 3:01:57 PM",Afternoon Run,Run,,3755,10.85,,false,,activities/5068902897.gpx,,,3755.0,3747.0,10856.599609375,8.100000381469727,2.897411346435547,143.00164794921875,139.60165405273438,87.4000015258789,134.0,43.0,0.03131735697388649,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,11255.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,
5074066134,"Apr 5, 2021, 11:46:29 AM",Uforberedt på snø,Hike,,10312,10.03,,false,,activities/5074066134.gpx,,,10312.0,8872.0,10031.2001953125,2.5,1.1306582689285278,400.45245361328125,400.45245361328125,39.599998474121094,424.6000061035156,49.400001525878906,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085366122,"Apr 7, 2021, 2:46:15 PM",Afternoon Run,Run,Halvveis opplegg,3879,10.54,,false,,activities/5085366122.gpx,,,3879.0,3858.0,10544.400390625,10.199999809265137,2.733125925064087,138.45860290527344,138.45860290527344,87.5,133.89999389648438,30.700000762939453,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10888.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,
